Year,Semester,Course ID,Section,Name,Course Name,Response Rate %,Hrs Per Week,Overall course rate
2020,Spring,60414,A,"HODGINS, JESSICA",ADV ETB ANM ART/TECH,25,19.67,4.33
2020,Spring,60417,A,"SILVER, SUZIE",ADV ETB: OPEN VIDEO,42,9.5,4.67
2020,Spring,60418,A,"PIPKIN, EVEREST",ETB: GESTURAL GAMES,41,9.2,4.8
2020,Spring,60424,A,"HSIEH, ANNIE HUI-HSIN",ADV ETB: SPEC TPC,40,12,3.5
2020,Spring,60424,A,"DEYOUNG, JOHANNES",ADV ETB: SPEC TPC,40,12,3.5
2020,Spring,60426,A,"DEYOUNG, JOHANNES",ADV ETB 2D ANIMATION,65,13.85,4.31
2020,Spring,60430,A,"HANSEN, ISLA",ADV SIS: OPN SCULPT,41,11,4.8
2020,Spring,60437,A,"BINGHAM, ROBERT",ADV CP/SIS: ENV SCLT,20,6.5,5
2020,Spring,60440,A,"HANSEN, ISLA",ADVD SIS: SPCL TOPC,66,11,5
2020,Spring,60447,A,"PELL, RICHARD",ART AT END OF WORLD,16,5,4
2020,Spring,60449,A,"WORMSLEY, ALISHA",ADV CP SPECIAL TOPIC,60,12,5
2020,Spring,60450,A,"JOHNSON, ANDREW",ADV DP3 DRAWING,33,12,4
2020,Spring,60452,A,"MERRELL, CLAYTON",ADV DP3: COLOR,46,9.71,4.57
2020,Spring,60453,A,"SHIMOYAMA, DEVAN",ADV DP3 PAINTING,60,12.11,4.44
2020,Spring,60461,A,"LEVIN, GOLAN",EXPERIMENTAL CAPTURE,81,9.15,5
2020,Spring,60461,A,"ROSS, NICA",EXPERIMENTAL CAPTURE,81,9.15,5
2020,Spring,60464,A,"PENA, JOHN",GRAPHIC NOVEL,56,12.11,4.89
2020,Spring,60475,A,"YEH, IMIN",ADV DP3: OPEN PRINT,40,9.5,4.75
2020,Spring,60476,A,"YEH, IMIN",ADV PRINT SERIGRAPHY,66,11.38,4.63
2020,Spring,60479,A,"CATHEY, SHIKEITH",PICTURING IDENTITY,50,6.5,4
2020,Spring,60499,C,"DUESING, JAMES",STDIO INDEPNDNT STDY,50,11,5
2020,Spring,60499,D,"MANNINO, JOSEPH",STDIO INDEPNDNT STDY,25,11,5
2020,Spring,60499,B,"BINGHAM, ROBERT",STDIO INDEPNDNT STDY,25,2,5
2020,Spring,60702,A,"RAGONA, MELISSA",MFA CRIT STUDIES 2,83,9.8,3.5
2020,Spring,60711,A,"OGRODNIK, BENJAMIN",MFA THESIS WRITING,83,9.2,4.4
2020,Spring,60761,A,"ROSS, NICA",EXPERIMENTAL CAPTURE,60,11,4.5
2020,Spring,60761,A,"LEVIN, GOLAN",EXPERIMENTAL CAPTURE,60,13,4.67
2020,Spring,60791,A,"HUBBARD, KATIE",MFA INTEGRATIVE SEM,44,6.13,4.63
2020,Spring,70100,A,"LAMONT, DAVID",GLOBAL BUSINESS,46,4.84,4
2020,Spring,70100,B,"LAMONT, DAVID",GLOBAL BUSINESS,56,5,3.76
2020,Spring,70104,A3,"JAFRY OCONNOR, RUBAB",BLE I,92,3.38,3.86
2020,Spring,70104,B3,"JAFRY OCONNOR, RUBAB",BLE I,100,2.91,4.06
2020,Spring,70110,B,"MUKHOPADHYAY, TRIDAS",BUSINESS COMPUTING,65,7.92,3.84
2020,Spring,70110,C,"MUKHOPADHYAY, TRIDAS",BUSINESS COMPUTING,52,7.31,3.62
2020,Spring,70110,A,"MUKHOPADHYAY, TRIDAS",BUSINESS COMPUTING,44,7.54,3.54
2020,Spring,70110,W,"FAROOQI, MUHAMMAD",BUSINESS COMPUTING,72,9.14,4.21
2020,Spring,70110,W,"SAFAK, VELI",BUSINESS COMPUTING,72,9.14,4.66
2020,Spring,70122,1,"YTSMA, ERINA",INTRO TO ACCOUNTING,41,7.1,4.1
2020,Spring,70122,3,"BONALDI, PIETRO",INTRO TO ACCOUNTING,54,6.15,4.08
2020,Spring,70122,2,"YTSMA, ERINA",INTRO TO ACCOUNTING,47,6.67,3.7
2020,Spring,70201,A,"JAFRY OCONNOR, RUBAB",PROFSSNL & SRVC PROJ,71,3.09,4.18
2020,Spring,70205,B4,"JAFRY OCONNOR, RUBAB",BLE II,95,5.24,3.68
2020,Spring,70205,A4,"JAFRY OCONNOR, RUBAB",BLE II,96,4.38,3.96
2020,Spring,70207,2,"NGUYEN, ANH",PROB & STAT BUS APPL,35,6.5,3.83
2020,Spring,70207,1,"NGUYEN, ANH",PROB & STAT BUS APPL,66,7.25,3
2020,Spring,70208,1,"LESSEM, REBECCA",REGRESSION ANALYSIS,42,6.5,4.38
2020,Spring,70208,W,"PARK, TAEYONG",REGRESSION ANALYSIS,59,9.95,4.74
2020,Spring,70246,A4,"KAIGLER, WILLIAM",ENTREP MINDSET,38,5.23,4.83
2020,Spring,70257,W,"DEMIRKOPARAN, HASAN",OPTI FOR BUSNS,67,13.92,3.52
2020,Spring,70257,1,"MOSELEY, BEN",OPTI FOR BUSNS,50,8,4.52
2020,Spring,70257,2,"MOSELEY, BEN",OPTI FOR BUSNS,44,7.2,4.67
2020,Spring,70258,A4,"MCCARTHY, MICHAEL",DEV BLOCKCHAIN CASE,37,5,5
2020,Spring,70258,A4,"GOYAL, VIPUL",DEV BLOCKCHAIN CASE,37,5,5
2020,Spring,70305,B3,"JAFRY OCONNOR, RUBAB",BLE III,89,3.24,4.09
2020,Spring,70305,A3,"JAFRY OCONNOR, RUBAB",BLE III,96,2.96,3.64
2020,Spring,70311,A,"LEE, SUNKEE",ORGNZTN BEHAVIOR,50,6.88,4.75
2020,Spring,70311,W,"LE ROUX, CECILE",ORGNZTN BEHAVIOR,57,10,4.63
2020,Spring,70311,B,"LEE, SUNKEE",ORGNZTN BEHAVIOR,55,7.22,4.55
2020,Spring,70311,C,"LEE, SUNKEE",ORGNZTN BEHAVIOR,52,5.92,4.65
2020,Spring,70321,A,"DIABES, MATTHEW",NEGOTIATN CNFLCT RES,50,5.38,4.69
2020,Spring,70332,W,"WALSH, Patrick",BUS SOCIETY & ETHICS,61,10,4.75
2020,Spring,70332,A,"HOOKER, JOHN",BUS SOCIETY & ETHICS,40,7.35,4.25
2020,Spring,70332,B,"HORNACK, JOSEPH",BUS SOCIETY & ETHICS,32,8.47,3.93
2020,Spring,70340,B,"STARK, V.EMILY",BUSINESS COMMUNCTNS,43,7.14,4.57
2020,Spring,70340,E,"BEVINS, CARLA",BUSINESS COMMUNCTNS,88,6.91,4.59
2020,Spring,70340,D,"WALTER, BETH",BUSINESS COMMUNCTNS,35,7.5,4.67
2020,Spring,70340,F,"WALTER, BETH",BUSINESS COMMUNCTNS,43,6.29,4.43
2020,Spring,70340,A,"STARK, V.EMILY",BUSINESS COMMUNCTNS,66,8,4.38
2020,Spring,70340,C,"BEVINS, CARLA",BUSINESS COMMUNCTNS,80,6.65,4.85
2020,Spring,70341,A,"TOMPROU, MARIA",TEAM DYNAMICS,88,7.64,3.73
2020,Spring,70342,W,"LE ROUX, CECILE",MANAGE ACRSS CLTURES,52,10.89,4.47
2020,Spring,70345,A,"RUDMAN, JOSEPH",BUSINESS PRSNTATIONS,66,7.1,4.3
2020,Spring,70345,C,"BURKE, CLARA",BUSINESS PRSNTATIONS,88,8,4.69
2020,Spring,70345,D,"BURKE, CLARA",BUSINESS PRSNTATIONS,75,7,5
2020,Spring,70345,W,"MCGINNIS, J",BUSINESS PRSNTATIONS,66,11.25,4.18
2020,Spring,70345,B,"RUDMAN, JOSEPH",BUSINESS PRSNTATIONS,42,7.25,4.75
2020,Spring,70345,X,"MCGINNIS, J",BUSINESS PRSNTATIONS,55,10.8,3.8
2020,Spring,70350,C,"HITCH, GEOFFREY",ACTING FOR BUSINESS,60,3.75,4.17
2020,Spring,70350,B,"PIERCE, EVELYN",ACTING FOR BUSINESS,20,6.5,5
2020,Spring,70350,A,"HITCH, GEOFFREY",ACTING FOR BUSINESS,52,5.3,4.4
2020,Spring,70352,W4,"HITCH, GEOFFREY",BUSINESS ACTING,72,5,4.63
2020,Spring,70364,A,"HORNACK, JOSEPH",BUSINESS LAW,25,8,3.33
2020,Spring,70366,A4,"TUNGATE, DAVID",INTEL PROPRTY & ECOM,22,5.3,4.3
2020,Spring,70371,B,"MIRZAEIAN, Neda",OPERATIONS MGMT,59,7.56,4.28
2020,Spring,70371,A,"CHEN, XINYING",OPERATIONS MGMT,87,6.71,4.05
2020,Spring,70374,W,"SAFAK, VELI",DATA MINING BUS ANLY,80,8,4.75
2020,Spring,70374,A,"ASERI, MANMOHAN",DATA MINING BUS ANLY,61,6.88,3.13
2020,Spring,70374,B,"ASERI, MANMOHAN",DATA MINING BUS ANLY,34,6.15,3.62
2020,Spring,70381,W,"SHARMA, VARUN",MARKETING I,96,8.33,4.4
2020,Spring,70381,C,"STUETTGEN, PETER",MARKETING I,76,7.7,4.3
2020,Spring,70381,B,"LU, JOY",MARKETING I,51,6.29,4.71
2020,Spring,70381,A,"LU, JOY",MARKETING I,54,6.62,4.54
2020,Spring,70385,A,"OLIVOLA, CHRISTOPHER",CONSUMER BEHAVIOR,54,7.4,2.83
2020,Spring,70391,C,"ALBERTUS, JAMES",FINANCE,46,9.13,3.87
2020,Spring,70391,B,"ALBERTUS, JAMES",FINANCE,51,6.26,4.26
2020,Spring,70391,W,"FAROOQI, MUHAMMAD",FINANCE,64,10.94,3.94
2020,Spring,70391,A,"ALBERTUS, JAMES",FINANCE,38,8.32,4.36
2020,Spring,70398,W,"AKGUC, SERKAN",INTERNATNL FINANCE,80,9.5,4.75
2020,Spring,70401,W,"COFIELD, MILTON",MANAGEMENT GAME,58,9.76,3.14
2020,Spring,70401,A,"LAMONT, DAVID",MANAGEMENT GAME,40,10.55,3.9
2020,Spring,70415,B,"KAIGLER, WILLIAM",INTRO ENTREPRENRSHIP,37,8.75,4.42
2020,Spring,70415,A,"KAIGLER, WILLIAM",INTRO ENTREPRENRSHIP,54,6.3,4.07
2020,Spring,70415,B,"BOLLINGER, STEPHEN",INTRO ENTREPRENRSHIP,37,8.5,4.08
2020,Spring,70416,W,"WHITE, GEORGE",NEW VENTURE CREATION,80,11.58,4.25
2020,Spring,70416,A,"MAWHINNEY, DAVID",NEW VENTURE CREATION,44,5.38,5
2020,Spring,70417,W,"WHITE, GEORGE",TPCS IN ENTREPRNRSHP,55,6.2,4.6
2020,Spring,70422,A,"CORONA, CARLOS",MANAGERIAL ACCOUNTNG,40,7,4.83
2020,Spring,70427,A,"BONALDI, PIETRO",MODERN BANKS,28,8,4.5
2020,Spring,70438,A,"SIRBU, MARVIN",COMMERCLZN & INNOVTN,30,4,3.33
2020,Spring,70440,A,"LAMONT, DAVID",CORPORATE STRATEGY,58,9.43,5
2020,Spring,70443,A,"ASERI, MANMOHAN",DGTL MKTG SCL MD STG,27,6.8,4.3
2020,Spring,70455,A,"MONROE, ROBERT",MODRN DATA MANGEMNT,50,8.42,4.75
2020,Spring,70460,A,"HOSSEININASAB, Amin",MATH MDLS FR CNSLTNG,62,8.6,5
2020,Spring,70462,W,"AKAN, MUSTAFA",UNCERT RISK MODELING,41,8,3.8
2020,Spring,70471,W,"AKAN, MUSTAFA",SUPPLY CHAIN MGMT,70,8,4.14
2020,Spring,70471,A,"XU, JOSEPH",SUPPLY CHAIN MGMT,42,7,4.67
2020,Spring,70480,A,"CORDER, LLOYD",INTERNTNL MARKETING,36,5.67,4.56
2020,Spring,70481,W,"SHARMA, VARUN",MARKETING RESEARCH,100,7,4.33
2020,Spring,70485,A,"CORDER, LLOYD",PRODUCT & BRAND MGT,50,5.25,4.08
2020,Spring,70489,W3,"BOATWRIGHT, PETER",PROD SRV INNOVAT,66,7.5,4.5
2020,Spring,70490,A,"KUEHN, LARS-ALEXANDER",BG DTA FINC MCH LRNG,66,7.25,4
2020,Spring,70492,A,"HOLLIFIELD, GEORGE BURTON",INVESTMENT ANALYSIS,42,8.86,4.36
2020,Spring,70492,B,"HOLLIFIELD, GEORGE BURTON",INVESTMENT ANALYSIS,37,7.8,4.2
2020,Spring,70492,W,"AKGUC, SERKAN",INVESTMENT ANALYSIS,55,9.2,4
2020,Spring,70493,B,"GUPTA, DEEKSHA",VALUATION AND FIN MO,82,6.88,4.83
2020,Spring,70493,A,"GUPTA, DEEKSHA",VALUATION AND FIN MO,95,7.75,4.85
2020,Spring,70494,W,"FAROOQI, MUHAMMAD",MRKTS: ANOM & EFCNCY,45,13.22,3.33
2020,Spring,70494,W,"OBRIEN, JOHN",MRKTS: ANOM & EFCNCY,45,13.56,3.33
2020,Spring,70495,B,"DENES, MATTHEW",CORPORATE FINANCE,82,8,4.36
